,Cluster0,Cluster1,Cluster2,Cluster3,Cluster4
238.0,112234.0,0.0,0.0,0.0,0.0
239.0,112235.0,0.0,0.0,0.0,0.0
240.0,112236.0,0.0,0.0,0.0,0.0
241.0,112237.0,0.0,0.0,0.0,0.0
242.0,112244.0,0.0,0.0,0.0,0.0
243.0,112246.0,0.0,0.0,0.0,0.0
244.0,112250.0,0.0,0.0,0.0,0.0
245.0,112252.0,0.0,0.0,0.0,0.0
246.0,112257.0,0.0,0.0,0.0,0.0
247.0,112258.0,0.0,0.0,0.0,0.0
248.0,112261.0,0.0,0.0,0.0,0.0
249.0,112262.0,0.0,0.0,0.0,0.0
250.0,117101.0,0.0,0.0,0.0,0.0
251.0,117103.0,0.0,0.0,0.0,0.0
252.0,117104.0,0.0,0.0,0.0,0.0
253.0,117105.0,0.0,0.0,0.0,0.0
254.0,117107.0,0.0,0.0,0.0,0.0
255.0,117108.0,0.0,0.0,0.0,0.0
256.0,117111.0,0.0,0.0,0.0,0.0
257.0,117112.0,0.0,0.0,0.0,0.0
258.0,117117.0,0.0,0.0,0.0,0.0
